gen,genotype,true label,predicted label, confidence in wrong label
0,"[array([ 22,  15, 161,  51, 106]), array([20, 10, 20, 13,  5]), array([ 25,  29, 151, 163, 230])]",3,6,787.1556
0,"[array([25,  3, 12, 60,  6]), array([ 17,   9,  69,  38, 191]), array([ 18,  25, 159, 223, 182])]",3,6,838.4191
1,"[array([  9,   9, 128,  62,   6]), array([ 17,   9,  71,  39, 192]), array([ 18,  25, 159, 223, 182])]",3,6,859.8137
2,"[array([23,  3, 12, 65, 11]), array([ 18,   9,  69,  38, 194]), array([ 18,  25, 159, 223, 182])]",3,6,836.19135
2,"[array([ 11,   3, 105, 221,  96]), array([ 17,   9,  69,  38, 191]), array([ 18,  25, 156, 223, 182])]",3,6,826.2066
2,"[array([ 21,   4, 229, 148,   8]), array([ 17,   9,  69,  38, 191]), array([ 18,  28, 159, 217, 183])]",3,6,802.58295
2,"[array([  9,   9, 132,  62,   6]), array([ 12,   9,  71,  41, 192]), array([ 18,  27,   2, 196,  67])]",3,6,675.05853
2,"[array([ 12,  23,   2,  97, 224]), array([ 17,   6,  15, 124,  88]), array([ 15,  17, 155, 142, 127])]",3,6,863.7371
2,"[array([ 17,   7,  51, 136,  42]), array([ 28,   3,  39, 227, 123]), array([ 23,  11, 222, 188,  81])]",3,6,797.71356
3,"[array([ 7,  0, 12, 65, 10]), array([ 18,   9,  69,  39, 194]), array([ 18,  25, 159, 223, 182])]",3,6,822.87585
3,"[array([ 19,   4, 229, 150,   9]), array([ 17,   9,  69,  38, 191]), array([ 18,  28, 221, 203,  84])]",3,6,801.4018
3,"[array([  8,   9, 132,  68,   6]), array([ 12,   9,  71,  41, 194]), array([ 18,  27,   2, 188,  81])]",3,6,676.78864
3,"[array([23,  3, 12, 65,  6]), array([ 18,   9,  69,  24, 163]), array([ 30,  13, 221, 204,  88])]",3,6,804.1709
3,"[array([ 17,   7,  51, 141,  42]), array([ 27,   3,  39, 227, 123]), array([ 23,  27,  39, 173, 116])]",3,6,788.6606
3,"[array([  2,  25,  30, 150,   3]), array([ 18,  12,  71,  41, 192]), array([ 18,  26,   2, 196,  67])]",3,6,780.621
3,"[array([ 15,  10, 253, 245, 115]), array([ 22,   9, 173, 140, 188]), array([ 18,  25, 159, 223, 182])]",3,6,701.4048
3,"[array([ 25,  23,   2,  97, 224]), array([ 17,   7,  15, 124,  88]), array([ 17,  17, 155, 140, 127])]",3,6,841.0347
3,"[array([ 17,   7,  51, 136,  34]), array([ 28,   3,  37, 227, 122]), array([ 23,  11, 219, 188,  81])]",3,6,799.2286
4,"[array([ 8,  0, 12, 65, 13]), array([ 18,   9,  69,  39, 194]), array([ 18,  30, 159, 223, 182])]",3,6,789.96387
4,"[array([ 2, 24, 12, 65, 10]), array([ 18,   9,  69,  39, 194]), array([ 18,  25, 150, 227, 182])]",3,6,827.587
4,"[array([23,  3, 12, 65,  8]), array([ 18,   9,  69,  21, 164]), array([ 30,  13, 221, 202,  84])]",3,6,804.21655
4,"[array([ 17,   7,  51, 136,  41]), array([ 25,   3, 104,  24, 192]), array([ 18,  27,   2, 196,  67])]",3,6,783.44305
4,"[array([ 2, 26, 20, 38, 65]), array([ 18,  12,  71,  45, 195]), array([ 18,  26,   2, 196,  67])]",3,6,781.59
