gen,genotype,true label,predicted label, confidence in wrong label
0,"[array([ 30,  10,  41,  62, 138]), array([  1,  28, 147,  88,  76]), array([ 20,  13,  66,  41, 186])]",3,6,736.795
2,"[array([  1,  14, 144,  62, 133]), array([  1,  28, 147,  87,  76]), array([ 20,  13,  64,  41, 186])]",3,6,730.27344
3,"[array([  6,  25, 159, 198,  44]), array([ 30,  28, 147,  88,  78]), array([ 18,  13,  66,  45, 187])]",3,6,756.88605
3,"[array([  7,  14, 144,  62, 133]), array([  0,  28, 147,  87,  76]), array([ 20,  13,  64,  42, 186])]",3,6,751.06915
4,"[array([ 18,  10,  40,  64, 144]), array([  5,  28, 147,  81,  76]), array([  6,  13,  62,  40, 182])]",3,6,771.2336
4,"[array([  2,   9, 128,  90, 231]), array([ 22,  18, 191,  88,  78]), array([ 18,  14,  73,  45, 187])]",3,6,744.7349
4,"[array([  7,  14, 144,  62, 133]), array([  0,  28, 147,  88,  76]), array([ 20,  13,  66,  42, 186])]",3,6,750.48145
4,"[array([  3,  12, 146, 186,  44]), array([ 30,  19, 156,  96,  78]), array([ 18,  13,  66,  45, 187])]",3,6,767.0267
4,"[array([ 30,  10, 144,  62, 133]), array([  0,  28, 147,  87,  76]), array([ 20,  13,  64,  42, 189])]",3,6,729.7524
4,"[array([ 30,   0,  69,  90, 108]), array([ 29,   8, 147,  84,  76]), array([ 20,  13,  66,  49, 186])]",3,6,728.75696
